date,week_time,time_block,weather,site,hours_spent_on_site,start_time,total_humans_adjusted,male_adults_adjusted,female_adults_adjusted,children_adjusted,walkers_adjusted,runners_adjusted,wheels_adjusted,dogs_adjusted,confirmed,site_category,macro_site_category,mins2_seawall,mins2city,lat,lon,mid_time,seconds_from_peak,time_from_peak_scaled
08-15-2024,WD,12:00:00,sunny,HR,0.17,11:05:00,1352.941176470588,605.8823529411765,611.7647058823529,135.2941176470588,447.0588235294117,58.8235294117647,847.0588235294117,0,Y,seawall,water,0,1,49.2968,-123.1348,40206,10194,-0.4457990973681522
08-15-2024,WD,12:00:00,sunny,LL,0.25,11:25:00,64,24,40,0,52,12,0,4,Y,lakeside,water,6,7,49.2972,-123.1399,41550,8850,-0.6091653231099576
08-15-2024,WD,12:00:00,sunny,TL,0.25,11:50:00,56,32,24,0,44,0,12,0,Y,forest,no water,13,25,49.2996,-123.1449,43050,7350,-0.7914937000539368
08-15-2024,WD,12:00:00,sunny,BL,0.25,12:40:00,76,36,40,0,36,0,40,0,N,lakeside,water,6,19,49.3052,-123.1388,46050,4350,-1.1561504539418952
08-15-2024,WD,14:00:00,sunny,PP,0.17,13:10:00,664.7058823529411,317.6470588235294,317.6470588235294,23.52941176470588,170.58823529411762,5.88235294117647,488.235294117647,11.76470588235294,Y,seawall,water,0,24,49.3111,-123.1381,47706,2694,-1.3574409820880482
08-15-2024,WD,14:00:00,sunny,AQ,0.25,13:40:00,160,68,68,24,92,0,68,0,Y,developed,no water,4,10,49.3001,-123.1321,49650,750,-1.5937385586074453
08-15-2024,WD,14:00:00,sunny,HR,0.17,14:05:00,823.5294117647059,388.235294117647,382.35294117647055,52.94117647058823,276.4705882352941,35.29411764705882,511.7647058823529,0,N,seawall,water,0,1,49.2968,-123.1348,51006,606,-1.6112420827940672
08-15-2024,WD,14:00:00,sunny,LL,0.25,14:20:00,96,40,56,0,80,8,8,12,N,lakeside,water,6,7,49.2972,-123.1399,52050,1650,-1.4843415324410578
08-15-2024,WD,14:00:00,sunny,TL,0.25,14:45:00,52,32,16,4,24,8,20,0,N,forest,no water,13,25,49.2996,-123.1449,53550,3150,-1.3020131554970786
08-15-2024,WD,19:00:00,sunny,TH,0.25,18:00:00,4,4,0,0,4,0,0,4,N,forest,no water,18,28,49.3072,-123.1494,65250,14850,0.12014818466595925
08-15-2024,WD,19:00:00,sunny,TL,0.25,18:25:00,12,8,4,0,8,0,4,0,N,forest,no water,13,25,49.2996,-123.1449,66750,16350,0.30247656160993847
08-15-2024,WD,19:00:00,sunny,LL,0.25,18:50:00,112,52,56,4,100,12,0,32,N,lakeside,water,6,7,49.2972,-123.1399,68250,17850,0.48480493855391765
08-15-2024,WD,19:00:00,sunny,HR,0.17,19:10:00,411.7647058823529,217.6470588235294,194.1176470588235,0,170.58823529411762,23.52941176470588,217.6470588235294,0,N,seawall,water,0,1,49.2968,-123.1348,69306,18906,0.613164115922479
08-15-2024,WD,19:00:00,sunny,BO,0.25,19:30:00,48,20,28,0,48,0,0,12,N,developed,no water,2,16,49.3,-123.1244,70650,20250,0.7765303416642844
08-15-2024,WD,21:00:00,sunny,AQ,0.25,20:00:00,48,28,16,4,40,0,8,0,N,developed,no water,4,10,49.3001,-123.1321,72450,22050,0.9953243939970594
08-15-2024,WD,21:00:00,dark,PP,0.25,20:25:00,56,36,20,0,20,0,36,0,N,seawall,water,0,24,49.3111,-123.1381,73950,23550,1.1776527709410387
08-14-2024,WD,08:00:00,sunny,BO,0.5,07:00:00,8,4,4,0,8,0,0,0,N,developed,no water,2,16,49.3,-123.1244,26100,24300,1.2688169594130283
08-14-2024,WD,08:00:00,sunny,AQ,0.5,07:40:00,48,20,24,4,40,2,6,0,N,developed,no water,4,10,49.3001,-123.1321,28500,21900,0.9770915563026615
08-14-2024,WD,08:00:00,sunny,PP,0.25,08:20:00,192,112,80,0,76,16,100,0,N,seawall,water,0,24,49.3111,-123.1381,30450,19950,0.7400646662754886
08-14-2024,WD,08:00:00,sunny,BL,0.25,08:45:00,24,16,8,0,16,0,8,0,N,lakeside,water,6,19,49.3052,-123.1388,31950,18450,0.5577362893315093
08-14-2024,WD,10:00:00,sunny,HR,0.17,09:15:00,617.6470588235294,335.2941176470588,276.4705882352941,5.88235294117647,223.52941176470586,47.05882352941176,347.05882352941177,0,N,seawall,water,0,1,49.2968,-123.1348,33606,16794,0.3564457611853563
08-14-2024,WD,10:00:00,sunny,BO,0.5,09:40:00,18,10,8,0,12,0,6,0,N,developed,no water,2,16,49.3,-123.1244,35700,14700,0.10191534697156132
08-14-2024,WD,10:00:00,sunny,PP,0.25,10:25:00,252,116,128,8,88,20,144,0,N,seawall,water,0,24,49.3111,-123.1381,37950,12450,-0.1715772184444075
08-14-2024,WD,12:00:00,sunny,AQ,0.5,11:00:00,170,80,80,10,154,6,10,6,N,developed,no water,4,10,49.3001,-123.1321,40500,9900,-0.4815354592491721
08-14-2024,WD,12:00:00,sunny,BO,0.5,11:40:00,28,18,10,0,22,4,2,0,N,developed,no water,2,16,49.3,-123.1244,42900,7500,-0.7732608623595388
08-14-2024,WD,12:00:00,sunny,PP,0.25,12:30:00,760,400,320,40,312,12,436,0,N,seawall,water,0,24,49.3111,-123.1381,45450,4950,-1.0832191031643035
08-14-2024,WD,14:00:00,sunny,TH,1,13:00:00,3,3,0,0,1,0,2,0,N,forest,no water,18,28,49.3072,-123.1494,48600,1800,-1.46610869474666
08-16-2024,WD,08:00:00,cloudy,HR,0.25,07:00:00,208,120,88,0,84,24,100,0,N,seawall,water,0,1,49.2968,-123.1348,25650,24750,1.323515472496222
08-16-2024,WD,08:00:00,cloudy,LL,0.5,07:25:00,28,16,12,0,24,4,0,6,N,lakeside,water,6,7,49.2972,-123.1399,27600,22800,1.0864885824690491
08-16-2024,WD,08:00:00,cloudy,TL,0.5,08:05:00,16,12,4,0,10,4,2,2,N,forest,no water,13,25,49.2996,-123.1449,30000,20400,0.7947631793586823
08-17-2024,WE,08:00:00,sunny,BL,0.5,07:00:00,12,8,4,0,12,0,0,0,Y,lakeside,water,6,19,49.3052,-123.1388,26100,24300,1.2688169594130283
08-17-2024,WE,08:00:00,sunny,PP,0.25,07:40:00,132,72,60,0,28,60,44,0,Y,seawall,water,0,24,49.3111,-123.1381,28050,22350,1.0317900693858553
08-17-2024,WE,08:00:00,sunny,AQ,0.5,08:05:00,40,18,20,2,34,6,0,0,N,developed,no water,4,10,49.3001,-123.1321,30000,20400,0.7947631793586823
08-17-2024,WE,08:00:00,sunny,BO,0.25,08:45:00,20,12,8,0,16,0,4,0,Y,developed,no water,2,16,49.3,-123.1244,31950,18450,0.5577362893315093
08-17-2024,WE,10:00:00,sunny,HR,0.17,09:10:00,788.235294117647,388.235294117647,358.8235294117647,35.29411764705882,335.2941176470588,123.52941176470587,329.4117647058823,0,Y,seawall,water,0,1,49.2968,-123.1348,33306,17094,0.3929114365741522
08-17-2024,WE,10:00:00,sunny,LL,0.25,09:30:00,132,84,40,8,72,60,0,12,Y,lakeside,water,6,7,49.2972,-123.1399,34650,15750,0.22954521083234677
08-17-2024,WE,10:00:00,sunny,TL,0.25,09:55:00,44,20,20,4,24,0,20,0,N,forest,no water,13,25,49.2996,-123.1449,36150,14250,0.04721683388836757
08-17-2024,WE,10:00:00,sunny,PP,0.17,10:50:00,764.7058823529411,358.8235294117647,352.94117647058823,52.94117647058823,288.235294117647,58.8235294117647,417.6470588235294,0,N,seawall,water,0,24,49.3111,-123.1381,39306,11094,-0.3364020712017647
08-17-2024,WE,12:00:00,sunny,BO,0.25,11:15:00,64,28,28,8,64,0,0,0,N,developed,no water,2,16,49.3,-123.1244,40950,9450,-0.5362339723323659
08-17-2024,WE,12:00:00,sunny,AQ,0.25,11:40:00,188,88,84,16,156,16,16,8,N,developed,no water,4,10,49.3001,-123.1321,42450,7950,-0.7185623492763451
08-17-2024,WE,12:00:00,sunny,TL,0.25,12:35:00,60,36,20,4,28,0,32,8,N,forest,no water,13,25,49.2996,-123.1449,45750,4650,-1.1196847785530994
08-17-2024,WE,14:00:00,sunny,LL,0.25,13:00:00,112,52,52,8,92,20,0,40,N,lakeside,water,6,7,49.2972,-123.1399,47250,3150,-1.3020131554970786
08-17-2024,WE,14:00:00,sunny,BO,0.25,13:25:00,72,48,20,4,56,0,16,0,N,developed,no water,2,16,49.3,-123.1244,48750,1650,-1.4843415324410578
08-17-2024,WE,14:00:00,sunny,PP,0.17,13:50:00,917.6470588235294,541.1764705882352,341.17647058823525,35.29411764705882,388.235294117647,41.17647058823529,488.235294117647,0,N,seawall,water,0,24,49.3111,-123.1381,50106,294,-1.649166385198415
08-17-2024,WE,14:00:00,sunny,BL,0.25,14:10:00,80,48,28,4,48,0,32,0,N,lakeside,water,6,19,49.3052,-123.1388,51450,1050,-1.5572728832186495
08-17-2024,WE,14:00:00,sunny,TH,0.25,14:35:00,8,0,8,0,8,0,0,8,N,forest,no water,18,28,49.3072,-123.1494,52950,2550,-1.3749445062746704
08-17-2024,WE,19:00:00,cloudy,HR,0.17,18:05:00,1211.764705882353,517.6470588235294,594.1176470588235,94.11764705882352,582.3529411764705,5.88235294117647,623.5294117647059,41.17647058823529,Y,seawall,water,0,1,49.2968,-123.1348,65406,15006,0.1391103358681331
08-17-2024,WE,19:00:00,cloudy,LL,0.25,18:25:00,56,36,20,0,56,0,0,8,Y,lakeside,water,6,7,49.2972,-123.1399,66750,16350,0.30247656160993847
08-17-2024,WE,19:00:00,cloudy,TL,0.25,18:50:00,8,8,0,0,4,0,4,0,Y,forest,no water,13,25,49.2996,-123.1449,68250,17850,0.48480493855391765
08-17-2024,WE,19:00:00,cloudy,BL,0.25,19:42:00,20,8,12,0,12,0,8,0,Y,lakeside,water,6,19,49.3052,-123.1388,71370,20970,0.8640479625973945
08-17-2024,WE,21:00:00,cloudy,PP,0.17,20:08:00,399.99999999999994,205.88235294117646,176.47058823529412,17.64705882352941,76.47058823529412,23.52941176470588,300,17.64705882352941,Y,seawall,water,0,24,49.3111,-123.1381,72786,22386,1.0361659504325107
08-17-2024,WE,21:00:00,dark,HR,0.25,21:25:00,152,112,28,0,44,0,108,0,Y,seawall,water,0,1,49.2968,-123.1348,77550,27150,1.6152408756065888
08-17-2024,WE,21:00:00,dark,LL,0.25,21:45:00,8,8,0,0,8,0,0,0,N,lakeside,water,6,7,49.2972,-123.1399,78750,28350,1.7611035771617722
07-27-2024,WE,08:00:00,sunny,BL,0.5,07:40:00,10,8,2,0,10,0,0,0,N,lakeside,water,6,19,49.3052,-123.1388,28500,21900,0.9770915563026615
07-27-2024,WE,08:00:00,sunny,AQ,0.25,08:22:00,60,32,28,0,40,12,8,0,N,developed,no water,4,10,49.3001,-123.1321,30570,19830,0.7254783961199702
07-27-2024,WE,08:00:00,sunny,HR,0.17,08:47:00,352.94117647058823,217.6470588235294,129.41176470588235,5.88235294117647,182.35294117647058,41.17647058823529,129.41176470588235,0,N,seawall,water,0,1,49.2968,-123.1348,31926,18474,0.560653543362613
07-27-2024,WE,10:00:00,sunny,TL,0.25,09:10:00,40,32,8,0,28,4,8,12,N,forest,no water,13,25,49.2996,-123.1449,33450,16950,0.37540791238753013
07-27-2024,WE,10:00:00,sunny,AQ,0.25,10:10:00,168,72,84,12,160,0,8,0,N,developed,no water,4,10,49.3001,-123.1321,37050,13350,-0.06218019227801996
07-27-2024,WE,10:00:00,sunny,HR,0.17,10:35:00,852.9411764705882,447.0588235294117,370.5882352941176,23.52941176470588,364.70588235294116,47.05882352941176,441.17647058823525,0,N,seawall,water,0,1,49.2968,-123.1348,38406,11994,-0.22700504503537716
07-27-2024,WE,12:00:00,sunny,LL,0.25,11:00:00,100,40,60,0,96,4,0,20,N,lakeside,water,6,7,49.2972,-123.1399,40050,10350,-0.4268369461659784
07-27-2024,WE,12:00:00,sunny,TL,0.25,11:23:00,56,36,20,0,16,4,36,0,N,forest,no water,13,25,49.2996,-123.1449,41430,8970,-0.5945790529544392
07-27-2024,WE,12:00:00,sunny,TH,0.25,11:50:00,4,4,0,0,4,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,43050,7350,-0.7914937000539368
07-27-2024,WE,12:00:00,sunny,BL,0.25,12:15:00,68,32,32,4,48,0,20,0,N,lakeside,water,6,19,49.3052,-123.1388,44550,5850,-0.973822076997916
07-27-2024,WE,12:00:00,sunny,PP,0.17,12:40:00,905.8823529411764,482.35294117647055,394.1176470588235,29.41176470588235,358.8235294117647,17.64705882352941,529.4117647058823,5.88235294117647,N,seawall,water,0,24,49.3111,-123.1381,45906,4494,-1.1386469297552733
07-27-2024,WE,14:00:00,sunny,AQ,0.25,13:00:00,224,88,120,16,204,8,12,16,N,developed,no water,4,10,49.3001,-123.1321,47250,3150,-1.3020131554970786
07-27-2024,WE,14:00:00,sunny,BO,0.25,13:25:00,76,36,28,12,64,12,0,0,N,developed,no water,2,16,49.3,-123.1244,48750,1650,-1.4843415324410578
07-27-2024,WE,14:00:00,sunny,HR,0.17,13:50:00,1582.3529411764705,829.4117647058823,700,52.94117647058823,705.8823529411765,29.41176470588235,847.0588235294117,0,N,seawall,water,0,1,49.2968,-123.1348,50106,294,-1.649166385198415
07-27-2024,WE,14:00:00,sunny,TL,0.25,14:15:00,64,40,24,0,32,0,32,0,N,forest,no water,13,25,49.2996,-123.1449,51750,1350,-1.5208072078298536
08-11-2024,WE,19:00:00,sunny,BO,0.25,18:00:00,48,32,12,4,48,0,0,0,N,developed,no water,2,16,49.3,-123.1244,65250,14850,0.12014818466595925
08-11-2024,WE,19:00:00,sunny,AQ,0.25,18:25:00,68,24,40,4,68,0,0,16,N,developed,no water,4,10,49.3001,-123.1321,66750,16350,0.30247656160993847
08-11-2024,WE,19:00:00,sunny,PP,0.17,18:50:00,529.4117647058823,352.94117647058823,164.70588235294116,11.76470588235294,158.8235294117647,35.29411764705882,335.2941176470588,0,N,seawall,water,0,24,49.3111,-123.1381,68106,17706,0.46730141436729566
08-11-2024,WE,19:00:00,sunny,BL,0.25,19:10:00,28,20,8,0,24,0,4,4,N,lakeside,water,6,19,49.3052,-123.1388,69450,19050,0.630667640109101
08-11-2024,WE,19:00:00,sunny,HR,0.17,19:40:00,194.1176470588235,111.76470588235293,82.35294117647058,0,94.11764705882352,0,99.99999999999999,0,N,seawall,water,0,1,49.2968,-123.1348,71106,20706,0.831958168255254
08-11-2024,WE,21:00:00,sunny,LL,0.25,20:01:00,80,48,32,0,48,12,20,12,N,lakeside,water,6,7,49.2972,-123.1399,72510,22110,1.0026175290748187
08-11-2024,WE,21:00:00,dark,BL,0.25,21:15:00,8,8,0,0,8,0,0,0,N,lakeside,water,6,19,49.3052,-123.1388,76950,26550,1.542309524828997
08-11-2024,WE,21:00:00,dark,PP,0.25,21:40:00,24,16,8,0,8,0,16,4,N,seawall,water,0,24,49.3111,-123.1381,78450,28050,1.7246379017729763
08-18-2024,WE,08:00:00,cloudy,BO,1,07:00:00,3,2,1,0,2,1,0,1,N,developed,no water,2,16,49.3,-123.1244,27000,23400,1.1594199332466408
08-18-2024,WE,08:00:00,cloudy,PP,0.5,08:30:00,242,154,86,2,94,20,128,0,N,seawall,water,0,24,49.3111,-123.1381,31500,18900,0.6124348024147032
08-18-2024,WE,12:00:00,cloudy,HR,0.25,12:00:00,1424,784,588,48,656,48,720,0,N,seawall,water,0,1,49.2968,-123.1348,43650,6750,-0.8644250508315284
08-18-2024,WE,14:00:00,cloudy,PP,0.25,14:00:00,948,552,380,12,416,48,484,0,N,seawall,water,0,24,49.3111,-123.1381,50850,450,-1.6302042339962413
08-18-2024,WE,19:00:00,cloudy,AQ,0.25,18:00:00,72,40,32,0,56,0,16,8,N,developed,no water,4,10,49.3001,-123.1321,65250,14850,0.12014818466595925
08-19-2024,WD,19:00:00,rain,AQ,0.25,18:00:00,16,8,8,0,4,8,4,4,Y,developed,no water,4,10,49.3001,-123.1321,65250,14850,0.12014818466595925
08-19-2024,WD,19:00:00,rain,PP,0.25,18:32:00,88,64,16,0,32,20,36,0,Y,seawall,water,0,24,49.3111,-123.1381,67170,16770,0.35352850715425266
08-19-2024,WD,19:00:00,rain,BL,0.25,18:55:00,28,4,24,0,16,4,8,0,Y,lakeside,water,6,19,49.3052,-123.1388,68550,18150,0.5212706139427135
08-19-2024,WD,19:00:00,rain,TL,0.25,19:20:00,8,4,4,0,8,0,0,0,Y,forest,no water,13,25,49.2996,-123.1449,70050,19650,0.7035989908866928
08-19-2024,WD,19:00:00,rain,LL,0.25,19:45:00,36,24,12,0,16,20,0,4,Y,lakeside,water,6,7,49.2972,-123.1399,71550,21150,0.8859273678306719
08-19-2024,WD,21:00:00,rain,HR,0.25,20:05:00,164,72,92,0,92,32,40,0,Y,seawall,water,0,1,49.2968,-123.1348,72750,22350,1.0317900693858553
08-18-2024,WE,19:00:00,cloudy,PP,0.17,18:25:00,476.4705882352941,288.235294117647,188.23529411764704,0,176.47058823529412,11.76470588235294,288.235294117647,0,N,seawall,water,0,24,49.3111,-123.1381,66606,16206,0.2849730374233165
08-18-2024,WE,19:00:00,cloudy,BL,0.25,18:45:00,24,8,16,0,24,0,0,0,N,lakeside,water,6,19,49.3052,-123.1388,67950,17550,0.44833926316512185
08-18-2024,WE,19:00:00,cloudy,TL,0.25,19:35:00,8,4,4,0,0,0,8,0,N,forest,no water,13,25,49.2996,-123.1449,70950,20550,0.8129960170530802
08-18-2024,WE,21:00:00,cloudy,LL,0.25,20:00:00,48,32,16,0,48,0,0,16,N,lakeside,water,6,7,49.2972,-123.1399,72450,22050,0.9953243939970594
08-18-2024,WE,21:00:00,dark,HR,0.17,20:23:00,352.94117647058823,188.23529411764704,164.70588235294116,0,158.8235294117647,0,194.1176470588235,0,N,seawall,water,0,1,49.2968,-123.1348,73686,23286,1.1455629765988984
08-18-2024,WE,21:00:00,dark,BO,0.25,20:43:00,4,4,0,0,4,0,0,0,N,developed,no water,2,16,49.3,-123.1244,75030,24630,1.3089292023407038
08-18-2024,WE,21:00:00,dark,AQ,0.25,21:05:00,8,4,4,0,8,0,0,0,N,developed,no water,4,10,49.3001,-123.1321,76350,25950,1.4693781740514054
08-19-2024,WD,21:00:00,dark,BL,0.25,20:30:00,8,8,0,0,8,0,0,0,Y,lakeside,water,6,19,49.3052,-123.1388,74250,23850,1.2141184463298345
08-19-2024,WD,21:00:00,dark,LL,0.25,21:00:00,16,12,4,0,8,0,8,0,N,lakeside,water,6,7,49.2972,-123.1399,76050,25650,1.4329124986626096
07-31-2024,WD,19:00:00,cloudy,AQ,0.25,18:35:00,76,32,32,12,68,0,8,0,N,developed,no water,4,10,49.3001,-123.1321,67350,16950,0.37540791238753013
07-31-2024,WD,19:00:00,cloudy,BO,0.25,19:00:00,32,16,16,0,32,0,0,4,N,developed,no water,2,16,49.3,-123.1244,68850,18450,0.5577362893315093
07-31-2024,WD,19:00:00,cloudy,PP,0.17,19:30:00,394.1176470588235,247.05882352941174,141.17647058823528,5.88235294117647,170.58823529411762,41.17647058823529,182.35294117647058,0,N,seawall,water,0,24,49.3111,-123.1381,70506,20106,0.7590268174776624
07-31-2024,WD,21:00:00,cloudy,BO,0.25,20:00:00,8,8,0,0,8,0,0,0,N,developed,no water,2,16,49.3,-123.1244,72450,22050,0.9953243939970594
07-31-2024,WD,21:00:00,dark,HR,0.17,20:25:00,229.41176470588235,117.6470588235294,111.76470588235293,0,129.41176470588235,0,99.99999999999999,11.76470588235294,N,seawall,water,0,1,49.2968,-123.1348,73806,23406,1.1601492467544166
07-31-2024,WD,21:00:00,dark,LL,0.5,20:45:00,16,12,4,0,16,0,0,2,N,lakeside,water,6,7,49.2972,-123.1399,75600,25200,1.3782139855794158
08-10-2024,WE,19:00:00,sunny,LL,0.25,18:00:00,88,56,32,0,64,16,8,24,N,lakeside,water,6,7,49.2972,-123.1399,65250,14850,0.12014818466595925
08-10-2024,WE,19:00:00,sunny,HR,0.17,18:20:00,941.1764705882352,523.5294117647059,382.35294117647055,35.29411764705882,423.52941176470586,52.94117647058823,464.70588235294116,0,N,seawall,water,0,1,49.2968,-123.1348,66306,15906,0.24850736203452062
08-10-2024,WE,19:00:00,sunny,BO,0.25,18:40:00,32,20,12,0,28,4,0,12,N,developed,no water,2,16,49.3,-123.1244,67650,17250,0.411873587776326
08-10-2024,WE,19:00:00,sunny,AQ,0.25,19:05:00,64,36,28,0,56,0,8,4,N,developed,no water,4,10,49.3001,-123.1321,69150,18750,0.5942019647203052
08-10-2024,WE,19:00:00,sunny,PP,0.17,19:35:00,488.235294117647,282.35294117647055,199.99999999999997,5.88235294117647,135.2941176470588,17.64705882352941,335.2941176470588,0,N,seawall,water,0,24,49.3111,-123.1381,70806,20406,0.7954924928664583
08-10-2024,WE,21:00:00,sunny,BL,0.25,20:00:00,32,20,12,0,24,0,8,0,N,lakeside,water,6,19,49.3052,-123.1388,72450,22050,0.9953243939970594
08-10-2024,WE,21:00:00,dark,TL,0.25,20:50:00,4,4,0,0,4,0,0,0,N,forest,no water,13,25,49.2996,-123.1449,75450,25050,1.359981147885018
08-10-2024,WE,21:00:00,dark,HR,0.25,21:15:00,140,80,60,0,88,0,52,0,N,seawall,water,0,1,49.2968,-123.1348,76950,26550,1.542309524828997
07-27-2024,WE,19:00:00,sunny,TL,0.25,18:30:00,24,12,12,0,24,0,0,0,N,forest,no water,13,25,49.2996,-123.1449,67050,16650,0.3389422369987343
07-27-2024,WE,19:00:00,sunny,LL,0.25,19:00:00,76,36,40,0,60,16,0,16,N,lakeside,water,6,7,49.2972,-123.1399,68850,18450,0.5577362893315093
07-27-2024,WE,19:00:00,sunny,BO,0.5,19:25:00,18,12,6,0,18,0,0,0,N,developed,no water,2,16,49.3,-123.1244,70800,20400,0.7947631793586823
07-27-2024,WE,21:00:00,sunny,AQ,0.25,20:02:00,96,56,40,0,84,0,12,0,N,developed,no water,4,10,49.3001,-123.1321,72570,22170,1.0099106641525777
07-27-2024,WE,21:00:00,dark,PP,0.25,20:22:00,312,204,108,0,104,16,192,0,N,seawall,water,0,24,49.3111,-123.1381,73770,23370,1.1557733657077611
07-25-2024,WD,08:00:00,cloudy,TH,0.5,08:15:00,0,0,0,0,0,0,0,0,Y,forest,no water,18,28,49.3072,-123.1494,30600,19800,0.7218318285810906
07-30-2024,WD,08:00:00,cloudy,TH,0.5,08:20:00,0,0,0,0,0,0,0,0,Y,forest,no water,18,28,49.3072,-123.1494,30900,19500,0.6853661531922948
08-07-2024,WD,08:00:00,sunny,TH,0.5,07:00:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,26100,24300,1.2688169594130283
07-29-2024,WD,08:00:00,rain,BO,0.5,07:55:00,0,0,0,0,0,0,0,0,Y,developed,no water,2,16,49.3,-123.1244,29400,21000,0.867694530136274
07-29-2024,WD,10:00:00,rain,TH,0.5,09:25:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,34800,15600,0.21131237313794884
08-10-2024,WE,08:00:00,sunny,TH,0.5,07:00:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,26100,24300,1.2688169594130283
08-12-2024,WD,14:00:00,cloudy,TH,0.25,14:35:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,52950,2550,-1.3749445062746704
07-30-2024,WD,12:00:00,rain,TH,0.5,12:20:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,45300,5100,-1.0649862654699056
08-13-2024,WD,19:00:00,cloudy,TH,0.25,18:35:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,67350,16950,0.37540791238753013
08-13-2024,WD,21:00:00,cloudy,TL,0.25,20:05:00,0,0,0,0,0,0,0,0,Y,forest,no water,13,25,49.2996,-123.1449,72750,22350,1.0317900693858553
08-13-2024,WD,21:00:00,dark,BO,0.25,21:50:00,0,0,0,0,0,0,0,0,N,developed,no water,2,16,49.3,-123.1244,79050,28650,1.797569252550568
08-14-2024,WD,21:00:00,dark,TL,0.25,20:25:00,0,0,0,0,0,0,0,0,N,forest,no water,13,25,49.2996,-123.1449,73950,23550,1.1776527709410387
08-14-2024,WD,21:00:00,dark,TH,0.25,20:50:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,75450,25050,1.359981147885018
08-15-2024,WD,08:00:00,sunny,TH,0.25,07:00:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,25650,24750,1.323515472496222
08-15-2024,WD,10:00:00,sunny,TH,0.17,09:55:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,36006,14394,0.06472035807498958
08-15-2024,WD,12:00:00,sunny,TH,0.25,12:30:00,0,0,0,0,0,0,0,0,Y,forest,no water,18,28,49.3072,-123.1494,45450,4950,-1.0832191031643035
08-15-2024,WD,21:00:00,dark,BL,0.25,20:50:00,0,0,0,0,0,0,0,0,N,lakeside,water,6,19,49.3052,-123.1388,75450,25050,1.359981147885018
08-15-2024,WD,21:00:00,dark,TH,0.25,21:15:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,76950,26550,1.542309524828997
08-15-2024,WD,21:00:00,dark,TL,0.33,21:40:00,0,0,0,0,0,0,0,0,N,forest,no water,13,25,49.2996,-123.1449,78594,28194,1.7421414259595982
08-16-2024,WD,08:00:00,cloudy,TH,0.33,08:45:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,32094,18306,0.5402327651448874
08-17-2024,WE,10:00:00,sunny,TH,0.25,10:20:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,37650,12750,-0.13511154305561165
08-17-2024,WE,12:00:00,sunny,TH,0.25,12:10:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,44250,6150,-0.9373564016091201
08-17-2024,WE,19:00:00,cloudy,TH,0.25,19:17:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,69870,19470,0.6817195856534152
08-17-2024,WE,21:00:00,dark,BO,0.25,20:35:00,0,0,0,0,0,0,0,0,Y,developed,no water,2,16,49.3,-123.1244,74550,24150,1.2505841217186304
08-17-2024,WE,21:00:00,dark,AQ,0.25,21:00:00,0,0,0,0,0,0,0,0,Y,developed,no water,4,10,49.3001,-123.1321,76050,25650,1.4329124986626096
07-27-2024,WE,08:00:00,sunny,TH,0.5,07:00:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,26100,24300,1.2688169594130283
07-27-2024,WE,10:00:00,sunny,TH,0.25,09:35:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,34950,15450,0.19307953544355094
07-27-2024,WE,14:00:00,sunny,TH,0.25,14:42:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,53370,2970,-1.323892560730356
08-11-2024,WE,21:00:00,dark,TL,0.25,20:25:00,0,0,0,0,0,0,0,0,N,forest,no water,13,25,49.2996,-123.1449,73950,23550,1.1776527709410387
08-11-2024,WE,21:00:00,dark,TH,0.25,20:50:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,75450,25050,1.359981147885018
08-18-2024,WE,19:00:00,cloudy,TH,0.25,19:10:00,0,0,0,0,0,0,0,0,N,forest,no water,18,28,49.3072,-123.1494,69450,19050,0.630667640109101
08-18-2024,WE,21:00:00,dark,BL,0.5,21:30:00,0,0,0,0,0,0,0,0,N,lakeside,water,6,19,49.3052,-123.1388,78300,27900,1.7064050640785784
09-19-2024,WD,21:00:00,dark,AQ,0.25,21:24:00,0,0,0,0,0,0,0,0,N,developed,no water,4,10,49.3001,-123.1321,77490,27090,1.6079477405288296
